TIME,SIZE,RESP,TH,ERROR
2006-07-11 18:40:05,13128,2523,5.20332936979786,NO
2006-07-11 19:40:06,13083,2999,4.36245415138379,NO
2006-07-11 20:40:10,12909,2785,4.63518850987433,NO
2006-07-11 21:40:06,12919,3026,4.26933245208196,NO
2006-07-11 22:40:06,13001,2978,4.36568166554735,NO
2006-07-11 23:40:06,13005,2557,5.08603832616347,NO
2006-07-12 00:40:06,13001,96190,0.135159579997921,NO
2006-07-12 01:40:06,12909,3843,3.35909445745511,NO
2006-07-12 02:40:07,12909,2705,4.77227356746765,NO
2006-07-12 03:40:45,12909,2664,4.84572072072072,NO
2006-07-12 04:40:06,12909,2663,4.84754036800601,NO
2006-07-12 05:40:06,13409,2464,5.44196428571429,NO
2006-07-12 06:40:06,13409,2673,5.01646090534979,NO
2006-07-12 07:40:09,13409,2920,4.59212328767123,NO
2006-07-12 08:40:17,13414,15405,0.870756247971438,NO
2006-07-12 09:40:05,13414,7631,1.75782990433757,NO
2006-07-12 10:40:28,13414,12214,1.09824791223187,NO
2006-07-12 11:40:30,13398,10445,1.28271900430828,NO
2006-07-12 12:40:10,13493,5759,2.34294148289634,NO
2006-07-12 13:40:06,13423,3080,4.35811688311688,NO
2006-07-12 14:40:14,13486,2723,4.95262578038928,NO
2006-07-12 15:40:10,13491,2610,5.16896551724138,NO
2006-07-12 16:40:07,13388,2931,4.56772432616854,NO
2006-07-12 17:40:06,13483,5329,2.53011822105461,NO
2006-07-12 18:40:07,13483,4730,2.85052854122622,NO
2006-07-12 19:40:09,13480,3369,4.00118729593351,NO
2006-07-12 20:40:06,13480,2631,5.12352717597872,NO
2006-07-12 21:40:08,13484,3023,4.46046973205425,NO
2006-07-12 22:40:06,13484,3060,4.40653594771242,NO
2006-07-12 23:40:06,13484,2464,5.4724025974026,NO
2006-07-13 00:40:09,13486,2829,4.76705549664192,NO
2006-07-13 01:40:06,13399,2818,4.75479063165366,NO
2006-07-13 02:40:08,13401,2478,5.40799031476998,NO
2006-07-13 03:40:11,13326,2646,5.03628117913832,NO
2006-07-13 04:40:05,13326,11353,1.1737866643178,NO
2006-07-13 05:40:11,13149,2623,5.01296225695768,NO
2006-07-13 06:40:06,13149,2734,4.80943672275055,NO
2006-07-13 07:40:07,13149,2640,4.98068181818182,NO
2006-07-13 08:40:08,13156,2869,4.58556988497734,NO
2006-07-13 09:40:11,13156,3013,4.36641221374046,NO
2006-07-13 10:40:09,13149,7637,1.72174937802802,NO
2006-07-13 11:40:06,13141,2660,4.94022556390977,NO
2006-07-13 12:40:07,13143,2695,4.87680890538033,NO
2006-07-13 13:40:17,13231,3404,3.88689776733255,NO
2006-07-13 14:40:06,13098,8235,1.59052823315118,NO
2006-07-13 15:40:08,13181,4928,2.67471590909091,NO
2006-07-13 16:41:24,0,41065,0,YES
2006-07-13 17:40:16,13468,2793,4.82205513784461,NO
2006-07-13 18:40:09,13376,2736,4.88888888888889,NO
2006-07-13 19:40:06,13459,3334,4.0368926214757,NO
2006-07-13 20:40:07,13461,2500,5.3844,NO
2006-07-13 21:40:06,13465,3274,4.11270616982285,NO
2006-07-13 22:40:06,13461,3827,3.51737653514502,NO
2006-07-13 23:40:10,13469,2626,5.12909367859863,NO
2006-07-14 00:40:06,13474,2672,5.04266467065868,NO
2006-07-14 01:40:06,13382,2430,5.50699588477366,NO
2006-07-14 02:40:07,13378,3043,4.3963194216234,NO
2006-07-14 03:40:06,13412,2486,5.39501206757844,NO
2006-07-14 04:40:06,13412,2807,4.77805486284289,NO
2006-07-14 05:40:06,13172,2413,5.4587650227932,NO
2006-07-14 06:40:08,13172,2685,4.90577281191806,NO
2006-07-14 07:40:06,13172,2638,4.9931766489765,NO
2006-07-14 08:40:08,13172,5838,2.25625214114423,NO
2006-07-14 09:40:09,13194,2485,5.30945674044266,NO
2006-07-14 10:40:10,13194,2654,4.97136397889977,NO
2006-07-14 11:40:06,13165,4368,3.0139652014652,NO
2006-07-14 12:40:08,13257,2574,5.15034965034965,NO
2006-07-14 13:40:06,13226,2760,4.79202898550725,NO
2006-07-14 14:40:05,13240,2650,4.99622641509434,NO
2006-07-14 15:40:06,13155,8322,1.58074981975487,NO
2006-07-14 16:40:08,13239,7358,1.79926610491982,NO
2006-07-14 17:40:05,13237,2891,4.57869249394673,NO
2006-07-14 18:40:06,13237,3640,3.63653846153846,NO
2006-07-14 19:40:07,13243,2695,4.9139146567718,NO
2006-07-14 20:40:06,13242,2520,5.2547619047619,NO
2006-07-14 21:40:06,13244,2815,4.70479573712256,NO
2006-07-14 22:40:06,13270,2675,4.9607476635514,NO
2006-07-14 23:40:06,13265,2867,4.6267875828392,NO
2006-07-15 00:40:06,13265,2436,5.44540229885058,NO
2006-07-15 01:40:07,13170,2624,5.01905487804878,NO
2006-07-15 02:40:05,13169,2436,5.4059934318555,NO
2006-07-15 03:40:06,13169,2677,4.91931266342921,NO
2006-07-15 04:40:05,13169,2532,5.20102685624013,NO
2006-07-15 05:40:05,13176,3118,4.22578576010263,NO
2006-07-15 06:40:06,13176,3459,3.80919340849957,NO
2006-07-15 07:40:06,13176,3046,4.32567301378857,NO
2006-07-15 08:40:07,13176,3126,4.21497120921305,NO
2006-07-15 09:40:06,13176,2497,5.27673207849419,NO
2006-07-15 10:40:06,13176,2512,5.24522292993631,NO
2006-07-15 11:40:05,13171,2668,4.93665667166417,NO
2006-07-15 12:40:06,13171,3052,4.31553079947575,NO
2006-07-15 13:40:06,12925,7004,1.84537407195888,NO
2006-07-15 14:40:05,12934,2453,5.27272727272727,NO
2006-07-15 15:40:06,12936,2846,4.54532677442024,NO
2006-07-15 16:40:05,12936,2432,5.31907894736842,NO
2006-07-15 17:40:10,12936,2702,4.78756476683938,NO
2006-07-15 18:40:05,12936,2546,5.08091123330715,NO
2006-07-15 19:40:10,12938,2639,4.90261462675256,NO
2006-07-15 20:40:06,12938,2494,5.18765036086608,NO
2006-07-15 21:40:11,12938,2803,4.61576881912237,NO
2006-07-15 22:40:06,12940,3010,4.29900332225914,NO
2006-07-15 23:40:06,12940,2636,4.90895295902883,NO
2006-07-16 00:40:05,12943,2529,5.11783313562673,NO
2006-07-16 01:40:06,12943,2757,4.69459557490025,NO
2006-07-16 02:40:07,12929,3109,4.1585718880669,NO
2006-07-16 03:40:06,12926,2516,5.13751987281399,NO
2006-07-16 04:40:06,12926,2441,5.29537074969275,NO
2006-07-16 05:40:05,12925,2465,5.24340770791075,NO
2006-07-16 06:40:05,12925,2969,4.35331761535871,NO
2006-07-16 07:40:06,12925,2686,4.81198808637379,NO
2006-07-16 08:40:05,12928,2451,5.27458180334557,NO
2006-07-16 09:40:05,12930,2651,4.87740475292343,NO
2006-07-16 10:40:05,12919,2888,4.4733379501385,NO
2006-07-16 11:40:06,12921,2503,5.16220535357571,NO
2006-07-16 12:40:06,12921,2766,4.67136659436009,NO
2006-07-16 13:40:12,12921,4281,3.01822004204625,NO
2006-07-16 14:40:05,12919,2447,5.27952595014303,NO
2006-07-16 15:40:06,12919,2636,4.90098634294385,NO
2006-07-16 16:40:07,13000,3888,3.34362139917695,NO
2006-07-16 17:40:06,13005,3071,4.23477694562032,NO
2006-07-16 18:40:06,13005,2480,5.24395161290323,NO
2006-07-16 19:40:06,13009,2617,4.97095911348873,NO
2006-07-16 20:40:06,13034,2467,5.28334008917714,NO
2006-07-16 21:40:06,12938,2635,4.91005692599621,NO
2006-07-16 22:40:09,12938,2675,4.83663551401869,NO
2006-07-16 23:40:05,12938,2621,4.93628386112171,NO
2006-07-17 00:40:06,12940,2569,5.03697936940444,NO
2006-07-17 01:40:10,12943,2846,4.54778636683064,NO
2006-07-17 02:40:06,12944,2538,5.10007880220646,NO
2006-07-17 03:40:06,12951,2420,5.35165289256198,NO
2006-07-17 04:40:07,12951,2510,5.1597609561753,NO
2006-07-17 05:40:10,12951,2741,4.72491791317038,NO
2006-07-17 06:40:06,12950,2704,4.78920118343195,NO
2006-07-17 07:40:06,12950,7452,1.73778851315083,NO
2006-07-17 08:40:07,12948,7900,1.63898734177215,NO
2006-07-17 09:40:07,12948,2700,4.79555555555556,NO
2006-07-17 10:40:10,13158,2638,4.98786959818044,NO
2006-07-17 11:40:10,13152,3993,3.29376408715252,NO
2006-07-17 12:40:12,13244,3143,4.21380846325167,NO
2006-07-17 13:40:10,13250,5531,2.39558850117519,NO
2006-07-17 14:40:09,13274,2932,4.52728512960437,NO
2006-07-17 15:40:16,13352,8075,1.65349845201238,NO
2006-07-17 16:40:06,13656,3562,3.83380123526109,NO
2006-07-17 17:40:11,13660,8264,1.65295256534366,NO
2006-07-17 18:40:06,13658,3793,3.60084365937253,NO
2006-07-17 19:40:06,13644,3933,3.46910755148741,NO
2006-07-17 20:40:06,13567,2852,4.7570126227209,NO
2006-07-17 21:40:10,13673,2653,5.15378816434225,NO
2006-07-17 22:40:06,13673,2418,5.65467328370554,NO
2006-07-17 23:40:06,13673,3893,3.51220138710506,NO
2006-07-18 00:40:06,13763,2685,5.12588454376164,NO
2006-07-18 01:40:05,13579,2455,5.53116089613035,NO
2006-07-18 02:40:06,13671,2596,5.26617873651772,NO
2006-07-18 03:40:05,13671,3616,3.78069690265487,NO
2006-07-18 04:40:07,13671,2574,5.31118881118881,NO
2006-07-18 05:40:05,13711,2642,5.18962906888721,NO
2006-07-18 06:40:11,13711,2615,5.24321223709369,NO
2006-07-18 07:40:08,13721,2465,5.56632860040568,NO
2006-07-18 08:40:07,13721,2446,5.60956663941128,NO
2006-07-18 09:40:09,13721,5938,2.31071067699562,NO
2006-07-18 10:40:12,13707,7024,1.95145216400911,NO
2006-07-18 11:40:06,13457,2941,4.57565453927236,NO
2006-07-18 12:40:11,13460,2496,5.39262820512821,NO
2006-07-18 13:40:06,13554,2982,4.54527162977867,NO
2006-07-18 14:40:09,13550,2895,4.68048359240069,NO
2006-07-18 15:40:12,13315,3893,3.42024145902903,NO
2006-07-18 16:40:06,12817,2589,4.95056006179992,NO
