TIME,SIZE,RESP,TH,ERROR
2006-07-11 18:30:30,489,3991,0.122525682786269,NO
2006-07-11 19:30:48,431,3982,0.108237066800603,NO
2006-07-11 20:30:37,472,4234,0.111478507321682,NO
2006-07-11 21:30:29,422,4156,0.101539942252166,NO
2006-07-11 22:31:12,476,4067,0.117039586919105,NO
2006-07-11 23:30:38,498,5100,0.0976470588235294,NO
2006-07-12 00:30:39,474,4013,0.118116122601545,NO
2006-07-12 01:30:41,500,6697,0.0746602956547708,NO
2006-07-12 02:31:43,490,9063,0.0540659825664791,NO
2006-07-12 03:31:05,484,2041,0.237138657520823,NO
2006-07-12 04:30:30,495,1998,0.247747747747748,NO
2006-07-12 05:31:58,464,2044,0.227005870841487,NO
2006-07-12 06:30:32,485,2063,0.23509452253999,NO
2006-07-12 07:30:37,464,2080,0.223076923076923,NO
2006-07-12 08:30:50,491,8591,0.0571528343615412,NO
2006-07-12 09:30:32,464,2852,0.162692847124825,NO
2006-07-12 10:31:48,473,3625,0.13048275862069,NO
2006-07-12 11:31:16,459,9022,0.0508756373309687,NO
2006-07-12 12:30:39,472,2253,0.209498446515757,NO
2006-07-12 13:30:40,484,8063,0.0600272851296044,NO
2006-07-12 14:30:34,441,12017,0.0366980111508696,NO
2006-07-12 15:30:45,441,4792,0.0920283806343907,NO
2006-07-12 16:30:36,478,4024,0.118787276341948,NO
2006-07-12 17:30:36,451,4082,0.110485056344929,NO
2006-07-12 18:30:29,494,4039,0.122307501856895,NO
2006-07-12 19:30:50,479,7422,0.0645378604149825,NO
2006-07-12 20:30:31,466,3978,0.117144293614882,NO
2006-07-12 21:30:31,526,4136,0.127176015473888,NO
2006-07-12 22:30:31,479,4048,0.118330039525692,NO
2006-07-12 23:30:34,487,2370,0.205485232067511,NO
2006-07-13 00:33:05,473,2005,0.235910224438903,NO
2006-07-13 01:30:32,503,5384,0.0934249628528975,NO
2006-07-13 02:30:30,468,1983,0.236006051437216,NO
2006-07-13 03:30:31,527,1981,0.266027258960121,NO
2006-07-13 04:30:31,461,2134,0.216026241799438,NO
2006-07-13 05:30:30,454,2039,0.222658165767533,NO
2006-07-13 06:30:30,476,2058,0.231292517006803,NO
2006-07-13 07:30:29,469,1989,0.235796882855706,NO
2006-07-13 08:30:30,476,2228,0.213644524236984,NO
2006-07-13 09:30:47,471,2307,0.204161248374512,NO
2006-07-13 10:30:36,473,11138,0.0424672293050817,NO
2006-07-13 11:30:39,447,4723,0.0946432352318442,NO
2006-07-13 12:30:37,457,4104,0.11135477582846,NO
2006-07-13 13:30:37,476,4316,0.110287303058387,NO
2006-07-13 14:30:41,452,4846,0.0932728023111845,NO
2006-07-13 15:30:31,476,4066,0.11706837186424,NO
2006-07-13 16:35:38,0,41136,0,YES
2006-07-13 17:30:34,416,4632,0.0898100172711572,NO
2006-07-13 18:30:44,454,4145,0.109529553679131,NO
2006-07-13 19:30:33,478,8327,0.0574036267563348,NO
2006-07-13 20:30:38,451,2036,0.221512770137525,NO
2006-07-13 21:30:32,473,1987,0.238047307498742,NO
2006-07-13 22:30:31,478,2023,0.236282748393475,NO
2006-07-13 23:30:30,432,2132,0.202626641651032,NO
2006-07-14 00:30:30,444,1981,0.224129227662797,NO
2006-07-14 01:30:32,498,2067,0.240928882438316,NO
2006-07-14 02:30:31,429,2008,0.213645418326693,NO
2006-07-14 03:30:29,538,1984,0.27116935483871,NO
2006-07-14 04:30:31,472,2228,0.211849192100539,NO
2006-07-14 05:30:30,484,1991,0.243093922651934,NO
2006-07-14 06:30:31,449,3987,0.112616002006521,NO
2006-07-14 07:30:29,481,6804,0.0706937095825985,NO
2006-07-14 08:30:34,473,4008,0.118013972055888,NO
2006-07-14 09:30:33,489,7416,0.0659385113268608,NO
2006-07-14 10:30:28,480,4197,0.114367405289492,NO
2006-07-14 11:30:32,439,4243,0.103464529813811,NO
2006-07-14 12:30:32,487,4640,0.104956896551724,NO
2006-07-14 13:30:42,495,4076,0.12144259077527,NO
2006-07-14 14:30:32,501,4829,0.103748188030648,NO
2006-07-14 15:30:48,471,7347,0.0641077991016741,NO
2006-07-14 16:30:32,414,5300,0.0781132075471698,NO
2006-07-14 17:30:32,464,2002,0.231768231768232,NO
2006-07-14 18:30:29,462,2414,0.191383595691798,NO
2006-07-14 19:30:33,468,7128,0.0656565656565657,NO
2006-07-14 20:33:47,481,2147,0.224033535165347,NO
2006-07-14 21:33:53,441,2167,0.203507152745731,NO
2006-07-14 22:33:26,431,2000,0.2155,NO
2006-07-14 23:33:27,515,2008,0.256474103585657,NO
2006-07-15 00:34:18,491,1983,0.247604639435199,NO
2006-07-15 01:42:14,436,2009,0.217023394723743,NO
2006-07-15 02:31:38,452,1941,0.232869654817105,NO
2006-07-15 03:36:38,468,3966,0.118003025718608,NO
2006-07-15 04:39:32,432,1952,0.221311475409836,NO
2006-07-15 05:36:05,479,2064,0.232073643410853,NO
2006-07-15 06:39:11,484,4647,0.104153217129331,NO
2006-07-15 07:30:29,441,3975,0.110943396226415,NO
2006-07-15 08:30:29,491,4058,0.120995564317398,NO
2006-07-15 09:30:35,463,4048,0.114377470355731,NO
2006-07-15 10:32:03,452,6711,0.0673521084786172,NO
2006-07-15 11:30:29,486,4017,0.120985810306199,NO
2006-07-15 12:30:32,477,4301,0.110904440827714,NO
2006-07-15 13:30:32,418,1994,0.20962888665998,NO
2006-07-15 14:30:32,474,1973,0.240243284338571,NO
2006-07-15 15:30:29,470,1987,0.236537493709109,NO
2006-07-15 16:30:30,432,1985,0.217632241813602,NO
2006-07-15 17:30:36,459,4037,0.113698290810007,NO
2006-07-15 18:30:30,471,2075,0.226987951807229,NO
2006-07-15 19:30:30,484,2001,0.241879060469765,NO
