US(East),US(West),Asia,Canada,South America,Central Eurpoe,average
140,242,132,143,309,122,181.3
112,196,156,230,328,149,195.2
113,224,142,228,362,133,200.3
137,191,61,200,354,140,180.5
152,169,192,216,293,260,213.7
192,136,112,236,373,128,196.2
174,127,113,184,315,120,172.2
132,181,263,175,281,118,191.7
138,141,108,195,321,109,168.7
107,320,170,184,305,119,200.8
141,224,197,205,285,150,200.3
105,192,206,248,391,118,210
319,141,108,223,331,101,203.8
150,228,111,141,275,168,178.8
132,142,103,252,365,210,200.7
154,123,112,189,357,149,180.7
136,127,109,212,335,123,173.7
122,260,280,215,329,135,223.5
139,124,154,203,388,112,186.7
83,266,107,172,334,121,180.5
119,259,103,128,339,181,188.2
258,166,109,202,321,112,194.7
103,140,96,193,317,127,162.7
125,141,115,192,315,145,172.2
113,247,135,175,287,114,178.5
123,149,116,111,300,126,154.2
119,241,102,196,366,196,203.3
65,141,178,90,312,117,150.5
103,243,160,124,258,100,164.7
132,264,120,175,289,120,183.3
115,138,107,296,309,119,180.7
116,237,117,195,331,122,186.3
169,215,120,189,266,119,179.7
107,302,155,225,231,157,196.2
142,230,126,182,363,130,195.5
120,131,125,178,386,134,179
231,229,119,211,355,108,208.8
168,253,96,288,353,122,213.3
263,221,101,183,276,129,195.5
241,210,111,198,284,121,194.2
80,192,147,146,302,155,170.3
138,242,86,138,308,130,173.7
146,248,63,145,340,149,181.8
142,259,100,171,306,116,182.3
212,282,108,161,320,196,213.2
73,253,101,191,290,128,172.7
230,198,108,215,373,109,205.5
79,243,80,201,355,144,183.7
124,169,118,191,242,121,160.8
100,230,111,91,248,109,148.2
59,225,182,136,289,103,165.7
101,117,121,110,327,97,145.5
101,172,103,197,277,142,165.3
362,356,108,300,332,136,265.7
123,135,111,167,364,111,168.5
124,120,65,115,275,130,138.2
188,124,105,143,240,117,152.8
96,254,129,185,321,149,189
110,232,123,171,245,148,171.5
112,288,103,176,352,135,194.3
290,284,117,116,390,116,218.8
119,255,106,232,326,112,191.7
90,232,124,219,344,126,189.2
125,147,136,170,373,123,179
134,144,170,236,335,102,186.8
149,165,115,135,290,118,162
144,161,169,183,295,106,176.3
124,223,108,91,280,196,170.3
131,138,96,125,322,158,161.7
123,252,96,133,358,116,179.7
139,153,276,168,272,230,206.3
127,241,115,184,321,178,194.3
65,315,191,167,322,191,208.5
102,130,128,130,321,135,157.7
120,132,97,88,345,113,149.2
133,142,180,137,293,119,167.3
115,231,144,170,320,125,184.2
121,199,139,178,293,118,174.7
131,244,163,190,361,162,208.5
63,155,105,155,287,123,148
108,154,122,183,329,135,171.8
190,133,123,173,342,121,180.3
119,253,134,249,309,110,195.7
159,229,108,208,363,101,194.7
89,225,107,193,286,123,170.5
116,259,107,102,319,126,171.5
94,137,124,176,278,106,152.5
85,111,132,228,343,178,179.5
187,246,113,140,300,262,208
162,140,101,120,315,96,155.7
129,137,108,176,257,120,154.5
144,227,96,182,239,120,168
131,236,88,101,339,109,167.3
137,138,106,182,296,112,161.8
146,140,89,195,277,139,164.3
91,121,104,185,335,161,166.2
117,231,119,188,295,189,189.8
63,250,187,209,292,110,185.2
111,190,101,87,292,125,151
173,234,108,203,321,144,197.2
60,231,172,215,251,128,176.2
114,237,88,370,335,105,208.2
150,131,117,195,462,156,201.8
105,222,118,195,302,149,181.8
78,130,127,182,313,133,160.5
76,119,118,159,299,130,150.2
183,127,133,184,368,120,185.8
98,234,141,213,293,149,188
174,133,127,258,387,119,199.7
203,123,130,94,316,122,164.7
143,124,106,187,402,125,181.2
184,276,107,164,311,97,189.8
187,216,224,113,323,107,195
143,251,142,130,392,124,197
90,156,169,147,361,123,174.3
73,174,98,233,381,114,178.8
90,219,202,188,313,111,187.2
171,133,118,143,303,145,168.8
114,128,130,190,319,112,165.5
143,253,107,183,302,145,188.8
110,229,92,179,229,352,198.5
100,265,111,174,309,129,181.3
69,121,66,199,339,103,149.5
124,113,146,175,279,129,161
72,229,99,181,347,102,171.7
74,215,100,199,319,181,181.3
78,257,115,148,292,147,172.8
99,124,96,194,325,129,161.2
146,167,135,96,338,195,179.5
179,221,110,226,346,114,199.3
110,125,256,200,297,145,188.8
