response time,down,up
2114,27.382,20.164
1093,28.597,22.874
1207,29.109,28.451
2452,28.369,22.141
1129,27.879,25.905
1252,30.494,21.195
1217,27.686,14.954
1092,26.858,25.941
1193,25.876,25.907
1151,27.982,21.331
1406,27.627,21.278
1254,26.511,25.592
1202,30.2,24.474
1089,24.184,20.485
1241,22.887,25.445
1322,27.397,18.669
1147,25.931,21.809
1328,24.576,14.582
1250,23.295,14.789
1161,29.63,21.057
2391,29.009,25.575
1309,25.181,10.131
1250,24.576,20.033
1208,28.999,25.542
1261,27.863,24.962
1295,28.773,22.32
1234,27.618,24.718
1242,25.696,25.5
1239,29.658,21.402
1934,28.333,23.588
1326,29.836,21.289
1399,27.481,23.98
1261,28.318,21.272
1192,27.837,23.971
1511,27.477,24.103
1191,27.536,26.153
1103,27.111,25.003
1203,26.703,27.743
1334,27.273,23.274
1196,29.257,19.446
1270,12.81,23.209
1109,28.204,24.389
1145,30.483,17.647
1178,28.456,24.294
1069,27.545,23.876
1257,27.629,23.626
1091,27.863,22.061
1126,29.103,21.002
1198,28.88,28.094
1730,27.405,14.878
1073,25.194,19.306
1121,28.782,23.947
1218,29.832,24.329
1124,29.266,24.596
1146,26.571,20.732
1293,27.595,23.189
1448,27.471,21.001
1491,24.032,25.6
1162,27.903,25.649
1334,29.504,23.933
1168,23.239,15.959
1569,25.934,25.694
1316,31.494,17.55
1513,28.452,15.936
1167,27.472,23.886
2326,25.512,16.509
1317,29.42,19.053
1495,23.371,20.23
1126,30.068,26.805
1563,24.935,22.246
1088,22.578,25.569
1466,28.269,22.014
2179,23.476,20.092
1584,23.76,3.604
1166,27.491,18.095
1395,14.205,13.997
1194,24.258,25.01
1713,27.95,24.561
1194,20.08,14.023
2036,26.7,17.471
1350,11.338,21.877
1561,26.675,17.94
2258,17.164,19.215
2659,24.355,17.44
1297,27.787,19.989
1566,28.819,21.56
1199,24.507,24.573
1722,23.971,25.807
1249,17.84,17.304
1543,26.572,20.918
1166,27.82,22.435
2067,26.556,22.623
1547,25.944,22.205
1330,26.648,25.81
1555,26.998,23.121
1269,27.11,21.569
1520,28.248,23.05
1105,28.128,26.24
1543,28.227,25.578
1201,27.72,22.822
2445,29.948,25.642
1193,25.187,24.707
1595,29.996,26.031
1147,29.034,20.834
1559,28.903,22.734
1192,29.172,23.64
1543,27.088,21.659
1128,29.94,24.208
1210,26.733,21.443
1467,25.708,25.041
1212,29.752,24.067
2060,27.974,25.818
1638,27.242,20.48
1360,26.776,28.465
1712,27.67,26.854
1209,28.381,18.132
1565,29.232,21.335
1221,26.235,21.286
1540,28.826,22.846
1164,28.346,22.884
2495,30.032,22.611
1252,27.972,19.849
1540,22.957,5.066
1202,28.471,21.41
1951,28.711,23.229
1199,25.914,17.23
1581,28.292,23.705
1188,27.446,22.73
2461,28.688,27.56
1153,26.749,13.681
1489,26.864,21.052
1210,28.059,19.322
1838,27.482,28.97
1170,27.831,28.3
1689,27.245,25.529
1411,27.793,27.417
1489,28.113,25.724
1134,27.849,23.997
1635,29.597,26.245
1129,29.436,22.285
1697,31.327,21.902
2674,26.707,26.073
1176,27.749,25.402
1476,27.111,25.366
1370,28.797,22.767
1554,27.05,25.867
1150,27.925,20.304
1183,28.326,26.288
1476,27.556,19.116
2469,26.721,21.745
1570,26.843,19.474
1462,29.542,25.254
1340,18.604,24.351
1545,26.771,19.284
1945,27.289,15.153
1554,27.28,5.085
2095,29.76,20.739
1390,28.683,22.21
1347,29.258,23.526
1508,27.376,27.616
1146,28.922,24.856
1552,27.717,26.338
1221,27.387,16.615
1531,28.392,23.889
1269,28.928,19.46
1538,32.022,23.857
1173,28.974,21.196
1596,29.248,24.64
1235,29.427,24.07
1571,29.084,25.034
1154,29.1,26.829
2087,30.381,20.743
1106,29.638,27.344
1210,24.681,23.761
1231,26.349,27.099
1520,30.137,25.888
1221,30.676,24.464
1476,30.773,22.223
1178,30.382,24.288
1479,28.734,25.572
1196,28.624,27.029
1377,27.906,23.117
1293,26.876,24.891
1470,27.75,24.059
1240,21.221,22.834
1485,25.487,18.095
1414,6.877,6.673
1490,26.971,21.348
2365,27.662,21.85
1506,28.779,22.293
1197,28.37,24.205
1576,6.344,13.581
1377,23.146,5.838
1333,28.119,21.323
2426,31.302,22.737
1195,28.823,26.309
1320,26.49,16.773
1627,31.111,21.333
1203,28.579,21.78
1512,30.558,23.499
1284,28.225,23.717
1603,29.355,22.714
2451,29.452,22.626
2038,30.13,21.355
1632,28.825,26.623
1120,24.84,23.918
1429,24.849,16.145
1255,25.577,24.803
1454,29.63,24.247
1174,32.533,20.977
1397,30.626,21.353
1478,28.772,24.249
1259,27.635,29.441
1546,30.084,25.135
1232,29.894,21.884
1478,30.335,20.256
1180,23.503,22.908
2502,29.802,26.84
1090,30.088,23.634
1603,23.95,12.125
1187,30.397,19.118
1567,31.227,21.62
1518,29.632,24.796
1178,27.739,22.536
1577,27.427,26.851
1249,30.175,21.04
1602,25.418,25.967
1286,28.045,19.984
2644,29.614,25.793
1299,27.471,19.29
1536,28.593,25.887
2278,28.084,28.398
1450,28.375,23.798
1228,30.009,27.356
1516,30.689,23.601
1367,27.664,24.965
1619,28.415,21.578
1571,26.785,18.32
1267,27.804,26.764
1534,29.774,19.862
1220,27.375,22.018
1503,28.372,23.732
1112,29.026,24.131
1584,28.75,21.452
1268,28.914,23.002
1541,26.605,23.143
1228,28.943,24.624
2877,28.584,24.516
1472,31.104,19.432
1209,25.219,19.041
1531,25.229,21.522
2964,24.469,21.865
1207,30.212,17.604
1518,22.309,24.282
1219,28.434,22.309
1598,26.578,23.645
1634,23.867,22.321
1553,27.547,14.385
1273,26.84,22.734
1524,27.493,28.04
1189,28.355,23.352
1557,28.812,21.762
1809,27.254,24.525
2189,27.226,23.198
1525,28.739,21.007
1117,28.056,23.991
1783,25.211,25.793
1590,25.943,22.598
1156,27.127,27.093
2138,28.613,25.501
1351,29.486,20.273
1538,29.216,20.908
1272,27.892,26.281
1578,28.916,24.897
1134,32.187,24.433
1426,27.772,25.072
1239,29.797,17.656
1582,29.303,22.203
2029,28.221,25.056
1661,25.675,23.36
1327,28.434,26.816
1449,27.694,20.212
1188,26.856,18.998
1457,28.706,27.014
1189,25.956,17.93
1543,28.652,20.889
1119,27.73,14.233
1441,31.655,19.83
1158,22.365,26.484
1527,25.504,15.413
1600,30.553,21.318
1145,29.888,20.122
1245,13.918,24.452
2822,26.207,20.261
1255,27.825,23.257
1525,21.983,10.92
1614,29.19,22.358
1268,27.786,11.338
1795,27.887,22.166
1211,28.219,25.389
1519,28.246,20.291
1592,28.307,29.424
1124,28.01,23.455
1393,27.393,22.704
1212,27.853,26.591
1482,28.571,24.244
1193,27.806,15.161
2461,30.751,22.697
1113,29.193,25.186
